OBJECTID,X Coordinate (Local Projection),Y Coordinate (Local Projection),Type of Bias,Count of Victims,RMS ID,Status of Crime,Type of Offense/Crime,Notes on Crime,Type of Location,Type of Victim,Race of Victims,Gender of Victim(s),Date of Crime,Obfuscated Address of Crime,Date of Status Change,Created On,Last Edited On,Latitude,Longitude,Type of Bias,x,y
432,-12459646,3944493,,1,TE202214616,Active,Criminal Damage,,Street,,,,2/7/2022 7:00:00 AM,58XX S Bonarden Ln,,9/22/2022 5:15:14 PM,9/22/2022 5:15:14 PM,33.36980699,-111.92690083,21,696878.974081364,862078.025590554
433,-12459333,3949161,,1,TE202246626,Early Case Closure,Criminal Damage,,Church,,,,4/30/2022 7:00:00 AM,21XX S Rural Rd,,9/22/2022 5:16:58 PM,9/22/2022 5:24:21 PM,33.40481905,-111.92409499,22,697736.475065615,874816.954396322
434,-12459580,3951323,,1,TE202247886,Early Case Closure,Criminal Damage,,Street,,,,5/3/2022 7:00:00 AM,S Rural Rd / E 8th St,,9/22/2022 5:18:38 PM,9/22/2022 5:24:21 PM,33.421029,-111.92631527,21,697059.465551183,880714.958661415
435,-12461077,3951888,,1,TE202253257,Early Case Closure,Assault,,Street,,,,5/15/2022 7:00:00 AM,50X S Mill Ave,,9/22/2022 5:20:36 PM,9/22/2022 5:24:21 PM,33.42526898,-111.93975851,41,692958.144028872,882258.313976377
436,-12460875,3947559,,1,TE202261211,Early Case Closure,Aggravated Assault,,Parking Lot,,,,6/7/2022 7:00:00 AM,12X E Southern Ave,,9/22/2022 5:22:41 PM,9/22/2022 5:24:21 PM,33.3928038,-111.93794388,32,693509.361548558,870445.826115489
437,-12458780,3949468,,1,TE202272615,Early Case Closure,Disorderly Conduct,,Bank,,,,7/7/2022 7:00:00 AM,12XX E Broadway Rd,,9/22/2022 5:24:21 PM,9/22/2022 5:24:21 PM,33.40711887,-111.91912394,12,699253.495078739,875653.665026248
438,-12461563,3951644,,1,TE2022106290,Active,Harassment,,Residence/Home,,,,10/1/2022 7:00:00 AM,6XX S Farmer Ave,,1/24/2023 9:54:48 PM,7/7/2023 4:13:06 PM,33.42343376,-111.94412447,42,691625.932742782,881590.896325462
439,-12461143,3951010,,1,TE2022139290,Open,Criminal Damage,,Church/Synagogue/Temple/Mosque,,,,12/25/2022 7:00:00 AM,10XX S Mill Ave,,1/24/2023 9:56:30 PM,7/7/2023 4:13:06 PM,33.41868731,-111.94035572,21,692775.392716534,879863.625328086
440,-12458582,3939866,,6,TE2023539,Closed,Disorderly Conduct,,Residence/Home,,,,1/3/2023 7:00:00 AM,1400 E Los Arboles,,7/7/2023 4:10:22 PM,7/7/2023 4:10:22 PM,33.33508623,-111.91734639,12,699795.759842519,849444.937664039
441,-12464328,3949883,,1,TE20231624,Closed,Assault,,Church/Synagogue/Temple/Mosque,,White,Male,1/5/2023 7:00:00 AM,16XX S 52nd St,,7/7/2023 4:13:06 PM,12/24/2023 10:26:36 PM,33.41023601,-111.96896307,33,684045.224081364,876791.827099741
442,-12459583,3946438,,2,TE202320112,Transferred,Bomb Threat,,Restaurant,,White,Male,2/19/2023 7:00:00 AM,44XX S Rural Rd,,7/7/2023 4:18:40 PM,7/7/2023 4:18:40 PM,33.38439272,-111.92634266,72,697049.870406825,867384.960301839
443,-12461982,3942587,,1,TE202325835,Early Case Closure,Disorderly Conduct,,Parking/Drop Lot/Garage,,Black,Male,3/5/2023 7:00:00 AM,6XX W Grove Pkwy,,7/7/2023 4:21:56 PM,7/7/2023 4:21:56 PM,33.35550781,-111.94788844,12,690470.128608923,856876.622047246
444,-12458721,3946233,,2,TE202331593,Early Case Closure,Bomb Threat,,Residence/Home,,Male,Male,3/19/2023 7:00:00 AM,45XX S Kenneth Pl,,7/7/2023 4:24:23 PM,7/7/2023 4:24:23 PM,33.38285609,-111.91859244,33,699415.522965878,866825.733923882
445,-12459683,3939738,,1,TE202376420,Inactive,Theft Other,,Church,,,,7/4/2023 7:00:00 AM,9XX E Warner Rd,,11/15/2023 7:55:40 PM,11/15/2023 7:55:40 PM,33.33412942,-111.9272367,41,696775.122703411,849096.969160102
446,-12458931,3950503,,1,2023096063,Open,Aggravated Assault,,Street,,White,Male,8/21/2023 7:00:00 AM,E Apache Blvd / S Terrace Rd,,11/15/2023 8:08:48 PM,11/15/2023 8:08:48 PM,33.41488225,-111.9204813,11,698839.386811025,878478.360564306
447,-12461986,3947459,,2,TE2023107722,Closed,Criminal Damage - Vehicle,,Residence/Home,,White,,9/16/2023 7:00:00 AM,6XX W Southern Ave,,11/15/2023 8:11:51 PM,12/19/2023 9:50:49 PM,33.39205475,-111.94792499,12,690462.958333332,870174.05675853
448,-12457938,3949423,,1,TE23115314,Inactive,Assault,,Specialty Store,,Black,Female,10/4/2023 7:00:00 AM,17XX E Broadway Rd,,11/15/2023 8:15:09 PM,11/15/2023 8:15:09 PM,33.40678251,-111.91156447,12,701560.338582676,875531.311023623
